experiment	Step	extension	doc	format
ChIP-seq	qc	fastqc_data.txt	FASTQC results	tsv
ChIP-seq	qc	read_count.txt	raw read count (from fastq file)	tsv
ChIP-seq	trim	trimmed.fastq	FASTQ reads after trimming adapters with Trimmomatic 	fastq
ChIP-seq	trim	trimmed.read_count.txt	number of reads surviving adapters trimming	tsv
ChIP-seq	map	bowtie.log	output log on bowtie execution	txt
ChIP-seq	map	bowtie.log.read_count.mapped	number of reads mapped	tsv
ChIP-seq	map	masked.dedup_metrics.txt	Picard MarkDuplicates metrics file	tsv
ChIP-seq	map	masked.dedup.sorted_read_count.txt	number of reads mapped surviving de-duplication and blacklist removal	tsv
ChIP-seq	map	masked.dedup.sorted.bam	mapped reads without duplicates (removed with Picard MarkDuplicates)	bam
ChIP-seq	map	masked.dedup.sorted.bam.bai	index file of mapped reads without duplicates (removed with Picard MarkDuplicates)	bai
ChIP-seq	map	masked.dups_marked.bam	mapped reads with duplicates marked	bam
ChIP-seq	map	masked.dups_marked.bam.bai	Index file of mapped reads with duplicates marked	bai
ChIP-seq	map	PBC.txt	PCR bottleneck coefficient	tsv
ChIP-seq	map	preseq_c_curve.percentage_unique_reads.txt	Percentage of unique reads in the first 10M (NA if library has less than 10M reads)	tsv
ChIP-seq	map	preseq_c_curve.txt	Expected yield of distinct reads for experiments smaller than the input experiment	tsv
ChIP-seq	map	preseq_lc_extrap.txt	Expected future yield of distinct reads and bounds on the number of total distinct reads in the library	tsv
ChIP-seq	peakcall	masked.dedup.sorted_peaks.broadPeak	broadPeaks detected with MACS2	broadPeak
ChIP-seq	peakcall	masked.dedup.sorted_peaks.broadPeak.peak_count.within_replicate.txt	number of broadPeaks detected with MACS2	tsv
ChIP-seq	peakcall	masked.dedup.sorted_peaks.narrowPeak	narrowPeaks detected with MACS2	narrowPeak
ChIP-seq	peakcall	masked.dedup.sorted_peaks.narrowPeak.peak_count.within_replicate.txt	number of narrowPeaks detected with MACS2	tsv
